;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;;;
Bahrain;2.080;2.180;2.360;2.610;2.890;2.760;3.530;3.760;3.680;3.790;4.540;5.100;4.870;5.150;5.360;5.600;5.280;6.210;6.620;6.490;6.490;6.770;7.970;8.290;8.410;8.530;9.170;9.450;9.620;9.750;10.710;11.330;11.780;12.410;12.480;12.770;12.620;13.740;14.690;16.010;16.170;16.000;16.500;16.630;18.900;19.200;20.060;16.737;;;
IR Iran;9.999;10.168;9.332;9.628;12.811;6.570;4.390;5.664;8.779;13.481;16.992;15.180;16.001;20.003;22.203;23.704;22.968;25.004;26.574;31.805;35.205;40.116;47.107;51.757;59.808;62.899;70.190;79.241;82.412;85.552;104.995;108.735;113.056;119.307;141.417;144.600;153.362;157.291;157.337;174.600;184.900;188.598;217.760;227.820;231.220;233.000;243.019;253.469;;;
Iraq;1.650;2.110;1.600;1.700;2.230;1.760;620;680;470;590;850;900;1.000;2.500;2.850;1.980;1.740;2.270;2.550;3.170;3.170;3.240;2.950;2.850;2.700;2.900;2.760;2.360;1.560;1.000;1.450;1.450;4.782;6.798;7.213;7.511;6.634;6.675;5.992;6.839;6.868;9.101;9.457;13.025;17.598;18.798;19.324;19.865;;;
Kuwait;4.550;4.830;5.180;5.530;7.760;6.910;2.832;2.832;3.512;4.078;3.965;5.409;8.048;9.941;11.762;7.250;510;2.620;5.421;5.971;5.971;9.301;9.271;9.001;8.641;9.601;8.501;8.001;9.101;9.701;12.302;12.412;12.062;12.702;11.411;14.515;16.995;16.205;16.884;18.490;20.761;21.602;21.067;21.860;18.460;18.218;19.752;21.364;;;
Oman;70;60;60;70;60;1.650;1.950;2.700;460;1.000;2.000;2.010;2.260;2.070;2.680;2.750;3.050;3.470;3.960;4.150;3.670;3.720;4.490;6.560;4.680;5.680;6.440;6.700;7.540;7.070;9.350;10.770;10.890;13.510;14.720;17.570;17.540;21.110;21.050;20.410;21.920;21.870;22.070;23.780;23.680;24.090;25.610;22.895;;;
Qatar;2.210;1.480;1.610;1.480;4.360;5.211;4.451;5.268;4.931;5.919;5.409;5.466;5.610;5.861;6.091;7.816;7.630;12.620;13.500;13.500;13.500;13.700;14.540;14.770;13.950;9.160;10.060;11.110;12.210;15.110;18.900;19.610;19.700;20.190;21.090;35.750;25.480;37.020;41.590;40.510;41.100;39.670;42.760;42.790;42.930;42.630;44.420;42.861;;;
Saudi Arabia;3.700;4.300;4.850;6.050;7.700;9.459;15.973;12.178;11.838;17.559;20.278;25.205;26.800;29.102;29.804;30.501;32.002;34.005;35.905;37.705;38.045;41.346;45.346;46.827;46.207;49.817;53.698;56.708;60.069;65.689;71.250;73.470;74.431;80.451;78.461;87.672;92.273;99.344;100.030;102.380;104.450;106.852;115.000;118.000;122.720;119.000;120.000;122.400;;;
United Arab Emirates;952;635;1.160;2.170;2.505;2.974;3.795;2.577;5.154;6.825;10.677;12.206;16.412;17.594;19.873;18.777;22.373;25.544;22.587;21.686;24.794;27.154;29.004;30.394;30.974;31.434;32.485;36.445;37.885;40.216;41.256;43.096;49.177;57.828;59.064;60.799;62.897;65.329;66.699;66.500;72.700;71.799;71.596;70.030;68.226;70.763;68.190;70.236;;;
Others;210;120;200;350;350;400;450;250;50;150;150;220;620;510;2.330;3.050;3.620;3.770;3.900;4.080;3.230;3.210;4.850;6.030;5.980;5.990;6.130;6.770;7.510;7.710;7.700;8.500;8.600;8.970;10.890;13.470;9.840;8.250;7.700;6.340;7.780;8.850;8.690;8.010;6.700;7.700;7.270;7.382;;;
Africa;5.560;6.270;6.670;9.400;15.390;20.288;18.327;23.086;28.260;30.960;30.194;32.030;35.001;37.094;37.959;38.840;42.357;43.376;43.744;45.644;47.694;50.455;50.354;52.315;55.355;60.885;64.725;67.945;71.865;75.235;85.706;89.962;93.924;100.196;101.325;100.817;109.851;126.297;129.677;129.387;131.952;135.796;138.552;146.470;154.746;155.219;161.159;161.901;;;
Algeria;2.960;3.500;3.730;5.990;8.470;13.027;9.799;15.661;18.578;19.258;16.539;17.049;18.571;20.173;18.702;19.938;21.948;20.673;18.553;19.553;21.013;21.583;20.163;20.853;21.313;20.563;20.443;20.413;20.523;19.283;23.968;25.604;26.461;27.679;28.760;29.014;32.882;36.295;36.655;37.498;39.019;39.546;40.373;44.429;46.809;45.226;49.568;51.400;;;
Angola;70;20;60;80;80;260;250;250;300;340;380;400;450;500;430;540;580;570;560;560;560;560;570;580;560;570;530;600;650;750;650;680;830;680;690;733;752;760;925;732;770;770;780;785;789;821;826;588;;;
Congo;20;20;10;0;0;10;10;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;105;111;179;229;327;573;711;714;1.025;918;908;846;680;867;580;405;415;425;;;
Egypt;50;380;460;740;1.120;2.180;2.440;2.670;3.130;4.020;4.930;5.680;6.280;6.920;7.740;8.070;9.080;9.820;11.290;11.990;12.430;13.400;13.500;14.000;16.800;21.000;25.200;27.300;29.620;31.900;34.210;37.800;39.830;42.050;44.370;46.170;50.740;53.030;51.940;48.080;47.960;51.180;58.780;62.780;63.840;61.810;65.160;62.658;;;
Equatorial Guinea;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;30;30;1.270;1.300;100;1.300;1.300;1.491;1.490;1.550;1.580;1.620;1.580;1.470;1.439;1.287;1.592;1.577;1.523;1.477;1.876;2.193;2.426;;;
Gabon;260;170;180;170;150;70;60;57;150;150;57;28;116;100;90;85;100;100;100;100;100;100;100;100;100;80;80;90;90;100;100;100;80;80;80;80;70;110;380;550;550;551;407;530;635;665;554;461;;;
Libya;1.510;1.250;1.430;1.670;3.780;3.230;3.115;2.492;3.172;3.455;4.050;4.758;4.552;4.441;4.666;4.928;4.960;4.932;4.761;4.911;4.851;5.221;5.451;5.451;4.241;5.201;5.391;5.581;4.751;5.931;5.831;4.786;5.321;5.501;6.012;7.065;5.436;5.731;6.488;5.940;5.934;5.893;5.250;5.040;6.939;8.554;10.475;10.580;;;
Nigeria;400;630;500;380;1.380;1.070;2.152;1.416;2.300;2.747;3.059;3.285;3.702;3.771;4.701;3.710;4.758;4.901;5.051;4.551;5.191;5.461;5.851;5.901;6.211;6.731;6.211;6.361;8.511;9.321;10.361;10.922;10.602;12.277;9.846;5.031;5.401;14.307;15.693;18.370;18.445;18.168;12.795;10.756;12.705;14.361;10.108;12.117;;;
South Africa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.260;1.880;1.960;1.810;1.790;1.620;1.920;2.080;1.870;1.950;1.440;1.750;3.120;3.940;4.120;3.970;4.120;3.590;4.010;4.580;4.700;4.900;4.750;4.900;4.960;4.880;5.080;5.050;4.950;5.290;5.264;;;
Tunisia;210;220;230;290;330;370;410;440;550;910;1.090;740;1.270;1.110;1.570;1.510;890;1.100;1.500;1.950;1.630;1.900;2.410;2.540;2.550;3.330;3.380;3.390;3.150;3.150;3.700;2.960;2.830;3.120;3.060;3.280;3.310;3.750;4.110;4.590;4.570;4.670;4.980;5.350;5.570;5.190;5.310;5.084;;;
Others;80;80;70;80;80;70;90;80;80;80;90;90;60;80;60;60;40;20;50;70;110;440;690;950;1.480;1.510;1.510;1.500;1.520;1.460;1.540;1.580;2.330;2.970;3.040;3.280;4.350;5.320;6.090;6.520;7.610;7.620;8.050;9.330;10.350;11.360;11.260;10.898;;;
